region,month,temperature_c,humidity_pct,pressure_hpa,wind_speed_kph,precip_mm,cloud_cover_pct,condition
North,10,19.88,65.25,1008.9,11.68,17.64,34.41,Cloudy
Central,6,27.14,85.44,1003.27,14.79,19.9,87.16,Rain
Central,1,21.64,44.65,1009.52,9.44,6.89,34.34,Cloudy
South,6,29.1,90.89,1004.22,10.76,24.08,92.02,Rain
North,6,25.39,69.2,1011.68,14.67,15.0,50.81,Cloudy
East,10,27.35,76.53,1007.78,14.69,21.23,65.79,Rain
West,8,22.13,72.76,1014.95,8.9,14.18,48.82,Rain
West,6,21.45,72.66,1011.5,11.6,17.98,71.96,Rain
South,6,30.57,86.66,1009.42,13.65,18.5,45.71,Rain
East,8,24.72,86.11,1003.66,12.84,25.75,89.88,Rain
North,2,12.91,38.41,1012.79,13.28,3.68,17.71,Fog
South,4,35.76,51.19,1011.6,7.71,8.0,11.92,Cloudy
West,12,19.93,45.16,1009.02,13.78,2.5,0.0,Cloudy
West,4,35.21,45.84,1011.47,10.67,3.5,8.76,Sunny
North,8,18.93,71.25,1009.5,19.07,19.32,75.74,Rain
North,8,20.08,63.51,1007.57,6.73,15.66,56.37,Rain
East,10,29.51,88.98,996.28,16.65,33.48,100.0,Rain
Central,4,31.25,50.72,1009.1,7.22,8.16,35.44,Cloudy
West,9,26.34,87.38,1001.88,9.1,17.78,43.29,Rain
North,7,28.39,64.25,1009.68,13.21,23.03,81.5,Rain
Central,12,20.34,41.82,1017.62,11.47,5.0,24.15,Sunny
North,7,25.92,71.54,1015.09,13.32,15.53,54.73,Rain
North,12,12.4,46.56,1015.9,8.38,16.84,43.44,Fog
Central,10,24.32,69.96,1008.91,14.66,12.52,45.72,Cloudy
South,7,25.47,79.47,1001.58,13.21,18.5,85.16,Rain
East,2,21.97,46.61,1016.01,10.8,8.53,35.06,Sunny
East,1,21.23,51.24,1021.17,18.76,7.5,23.14,Sunny
West,10,23.11,60.87,1005.98,3.56,12.89,27.76,Cloudy
West,8,24.91,68.86,1017.82,7.59,16.43,54.93,Cloudy
Central,10,34.22,61.8,1004.57,10.9,11.29,48.81,Sunny
East,2,19.37,49.06,1010.99,9.03,7.5,16.4,Sunny
East,9,26.47,87.46,1008.27,13.33,22.32,87.64,Rain
South,3,40.72,65.7,1004.07,16.1,8.0,28.59,Cloudy
East,12,15.27,56.49,1010.3,12.41,13.23,54.26,Sunny
West,2,20.24,41.07,1010.59,13.57,14.33,46.72,Cloudy
East,6,26.98,97.09,1006.35,8.96,19.0,58.14,Rain
South,4,39.9,67.08,1015.78,15.32,21.39,71.93,Cloudy
South,10,28.11,78.47,1011.6,11.32,12.5,37.84,Rain
Central,8,26.75,92.74,1001.18,11.91,23.88,100.0,Rain
East,8,27.91,80.11,1004.45,14.41,19.0,44.96,Rain
North,7,23.83,53.96,1015.99,5.05,19.83,84.0,Cloudy
Central,2,14.26,55.33,1013.08,15.98,10.21,28.36,Sunny
Central,10,26.31,63.96,1013.29,7.87,12.61,39.35,Cloudy
North,9,19.77,64.24,1014.23,16.63,19.21,66.57,Cloudy
East,2,27.48,48.56,1010.46,16.49,7.5,23.0,Sunny
East,4,29.2,54.44,1002.79,3.12,14.14,64.08,Sunny
West,4,35.88,54.91,1012.05,8.4,7.33,21.94,Cloudy
Central,10,27.96,67.24,1012.04,4.8,16.63,41.59,Sunny
Central,3,25.5,50.25,1014.31,17.56,13.5,60.76,Cloudy
East,3,38.06,60.64,1005.29,9.98,8.5,9.08,Sunny
East,12,16.35,52.75,1001.52,14.96,7.5,18.07,Cloudy
West,3,31.29,45.42,1011.63,16.79,9.07,37.5,Cloudy
East,7,29.2,82.68,1008.14,22.59,28.69,78.92,Storm
North,2,16.71,36.12,1010.04,13.42,12.96,46.81,Fog
Central,3,26.28,47.18,1015.12,7.19,6.25,40.22,Sunny
East,9,25.15,86.3,1001.49,14.31,25.72,100.0,Rain
East,5,34.67,70.03,1007.77,8.89,12.05,51.75,Rain
South,4,33.45,67.66,1010.26,11.68,17.51,42.86,Cloudy
North,9,20.99,56.06,1005.76,6.49,15.0,57.62,Rain
East,12,27.76,53.04,1008.41,11.65,7.5,13.46,Cloudy
West,3,35.53,54.68,1005.62,7.03,3.5,30.89,Sunny
West,2,25.21,36.9,1017.06,10.92,14.23,59.66,Cloudy
South,11,30.36,67.04,997.33,10.07,19.32,78.74,Cloudy
South,3,33.52,64.73,1009.88,7.62,9.92,36.52,Cloudy
Central,5,33.66,58.9,1007.81,8.78,10.78,44.44,Sunny
South,5,33.33,62.51,1012.89,15.13,13.01,41.27,Cloudy
West,12,22.65,41.32,1006.69,11.18,2.5,8.91,Sunny
Central,8,28.24,78.23,1006.03,9.32,21.68,73.89,Rain
North,2,22.49,26.76,1005.88,11.58,3.5,29.44,Sunny
Central,9,23.23,68.44,1011.91,13.72,16.5,61.7,Cloudy
South,5,34.27,71.92,1012.2,13.13,8.0,38.24,Cloudy
Central,1,15.9,46.65,1004.5,13.69,5.0,12.17,Cloudy
Central,3,36.85,51.92,1011.79,9.4,9.19,26.25,Sunny
West,9,23.38,58.11,999.25,13.2,26.67,100.0,Rain
East,11,23.66,79.06,1016.75,13.88,19.15,82.34,Rain
West,5,34.07,54.31,1018.32,9.89,3.5,7.59,Cloudy
North,1,18.26,37.24,1009.4,3.82,3.5,25.32,Sunny
East,7,24.97,84.43,1004.91,2.91,19.0,64.68,Rain
South,8,28.82,83.0,1018.09,14.76,18.5,61.68,Rain
South,10,28.5,83.72,1005.31,11.29,19.25,81.21,Rain
North,7,26.5,66.79,1012.71,3.57,15.45,52.02,Rain
South,1,15.54,46.25,1009.02,7.04,7.0,35.85,Cloudy
West,1,18.07,33.63,1010.55,14.28,8.85,35.58,Sunny
North,1,15.87,26.49,1006.8,10.2,3.5,8.26,Fog
East,3,29.51,53.54,1003.57,8.9,20.27,71.75,Sunny
North,2,18.15,33.69,1014.29,4.88,8.17,28.35,Fog
East,3,37.56,52.86,1017.77,13.48,8.5,30.64,Sunny
Central,11,25.53,67.91,1013.88,8.07,10.5,56.77,Cloudy
East,10,28.33,83.75,1008.76,6.17,19.81,68.49,Rain
South,1,20.83,44.04,1010.34,18.75,20.09,93.5,Cloudy
West,2,17.72,42.78,1010.03,18.17,5.86,25.77,Sunny
South,2,23.25,53.31,1006.27,6.46,8.78,31.37,Cloudy
South,8,22.64,87.14,1006.62,11.2,27.47,91.65,Rain
North,7,23.03,72.65,1001.71,13.01,25.72,92.16,Rain
Central,7,23.89,75.95,1008.92,11.89,21.02,63.41,Rain
North,9,22.82,62.02,999.16,5.07,15.11,32.19,Cloudy
West,5,34.15,58.5,1004.72,9.06,3.5,29.85,Sunny
Central,10,24.52,79.99,1007.2,21.1,24.52,81.5,Rain
Central,11,25.89,72.56,1011.13,13.98,32.57,100.0,Rain
East,6,28.73,85.22,1008.76,6.2,23.67,68.75,Rain
North,12,13.55,24.9,1015.0,5.66,6.15,19.27,Fog
North,6,21.86,71.95,999.69,4.67,15.0,66.91,Rain
South,4,35.34,62.28,1004.02,7.12,10.83,56.09,Cloudy
East,2,24.23,46.98,1007.54,9.62,7.5,23.11,Cloudy
East,2,23.65,45.27,1011.89,11.66,7.5,7.83,Sunny
North,3,28.13,59.42,1004.69,8.02,6.15,17.3,Cloudy
North,6,20.13,76.91,1009.54,19.61,24.95,96.37,Rain
South,3,35.05,56.93,1017.69,11.27,11.72,45.84,Cloudy
Central,6,24.73,80.04,1008.62,16.06,22.19,93.34,Rain
Central,3,32.24,61.58,1010.99,17.17,14.2,70.38,Cloudy
East,7,27.01,64.49,1009.86,15.96,24.3,79.55,Rain
East,1,24.61,46.61,1016.03,14.52,23.96,99.95,Cloudy
South,8,27.89,78.45,1007.64,12.2,19.97,61.63,Rain
West,8,27.17,79.32,1006.06,6.67,14.0,66.38,Rain
North,6,23.39,59.28,1011.33,7.61,19.38,78.46,Cloudy
West,9,28.31,72.88,1016.3,17.61,14.1,58.58,Rain
South,5,37.06,68.37,1008.38,9.04,11.73,58.83,Cloudy
East,6,26.01,87.38,1008.25,9.4,26.02,100.0,Rain
Central,3,31.0,43.41,1009.12,9.65,6.0,23.54,Cloudy
South,9,28.95,90.87,996.63,14.34,25.2,94.69,Rain
South,8,31.14,96.31,1003.99,13.78,22.72,92.78,Rain
Central,8,22.83,85.64,1009.98,14.34,23.56,83.84,Rain
Central,5,29.92,51.24,1003.87,11.23,12.26,55.68,Sunny
North,6,17.87,80.3,1009.47,12.54,18.9,59.37,Rain
South,3,34.63,70.93,1010.86,17.11,8.0,9.4,Cloudy
West,10,24.16,63.39,1015.13,22.57,8.0,25.35,Sunny
South,12,23.23,51.94,1007.56,6.51,12.6,39.41,Sunny
East,3,33.17,55.83,1006.33,16.83,11.55,46.53,Cloudy
West,9,29.42,83.69,1009.25,9.57,23.78,85.64,Rain
South,10,24.93,72.44,1006.29,9.28,23.32,88.18,Rain
South,11,29.31,78.55,1002.84,15.52,22.3,66.12,Rain
South,1,20.25,51.35,1009.28,10.51,8.89,51.55,Sunny
South,10,28.21,73.2,1007.71,14.11,23.79,91.13,Rain
South,7,28.01,100.0,1006.59,15.84,18.5,48.93,Rain
West,2,19.85,47.13,1010.94,9.7,11.68,48.14,Cloudy
Central,5,32.5,65.31,1007.62,9.98,6.0,5.44,Sunny
North,7,19.42,87.2,1001.16,7.17,28.81,69.92,Rain
West,4,31.51,49.41,1011.9,12.25,3.5,14.16,Cloudy
East,7,23.6,89.43,1008.42,16.11,21.94,60.99,Rain
Central,11,30.1,77.05,1017.01,7.08,11.96,50.66,Sunny
North,3,26.83,35.74,1007.92,8.07,4.58,12.05,Cloudy
South,1,29.34,55.08,1005.81,1.95,15.32,42.74,Cloudy
North,2,9.75,26.63,1012.36,15.54,14.45,70.83,Fog
South,5,38.19,58.96,1003.85,7.66,14.36,53.55,Cloudy
South,12,22.76,55.29,1012.46,17.37,7.0,25.0,Sunny
North,8,27.05,66.28,999.61,13.36,24.27,87.28,Cloudy
West,4,37.4,60.62,1006.86,13.68,3.5,6.11,Cloudy
East,2,19.05,57.0,1009.04,11.39,11.08,28.0,Sunny
Central,12,20.95,49.15,1010.84,10.38,17.22,71.87,Cloudy
West,1,25.86,42.55,1001.47,13.88,4.19,0.0,Cloudy
